10000024,"CH DE FLEYRIAT",900,"RTE","DE PARIS","01440 VIRIAT"
10000032,"CH BUGEY SUD",700,"AV","DE NARVIK","01300 BELLEY"
10000065,"CH DE TREVOUX - MONTPENSIER",14,"R","DE L'HOPITAL","01606 TREVOUX CEDEX"
10000081,"CH DU PAYS DE GEX",160,"R","MARC PANISSOD","01174 GEX CEDEX"
10000099,"CH DE MEXIMIEUX",13,"AV","DU DOCTEUR BOYER","01800 MEXIMIEUX"
10000107,"CH DE PONT DE VAUX",,"CHE","DES NIVRES","01190 PONT DE VAUX"
10000115,"CHI AIN VAL DE SAONE - PONT VEYLE",,"R","PIERRE GOUJON","01290 PONT DE VEYLE"
10000131,"CHI AIN VAL DE SAONE - THOISSEY",11,"R","DE L HOPITAL","01140 THOISSEY"
10000180,"CH PUBLIC HAUTEVILLE - UNITE ESPERANCE",,"AV","FELIX MANGINI","01110 PLATEAU D HAUTEVILLE"
10000198,"CH PUBLIC HAUTEVILLE - UNITE INTERDEPT",,"AV","FELIX MANGINI","01110 PLATEAU D HAUTEVILLE"
10000214,"CH PUBLIC HAUTEVILLE - UNITE ALBARINE",,"AV","FELIX MANGINI","01110 PLATEAU D HAUTEVILLE"
10000495,"CENTRE PSYCHOTHERAPIQUE DE L'AIN",,"AV","DE MARBOZ","01012 BOURG EN BRESSE CEDEX"
10001246,"MARPA DE BAGE-LA-VILLE",100,"R","DE LA MAIRIE","01380 BAGE DOMMARTIN"
10001261,"ESAT LES BROSSES",,,,"01560 VERNOUX"
10001295,"PREVENTION SPECIALISEE - ADSEA",526,"R","PAUL VERLAINE","01960 PERONNAS"
10001360,"MARPA LA VALETTE",227,"RTE","DE MONTCET","01310 MONTRACOL"
10001436,"SSIAD DU CHAVS - PONT DE VEYLE",,"R","PIERRE GOUJON","01290 PONT DE VEYLE"
10001733,"LBM CROIX BLANCHE BOURG EN B",51,"AV","AMEDEE MERCIER","01000 BOURG EN BRESSE"
10001741,"FAM PRE LA TOUR",,"RTE","DU BOURG","01630 ST JEAN DE GONVILLE"
10002038,"S.S.I.S. ADAPEI",1,"R","FRANCOISE DOLTO","01105 OYONNAX CEDEX"
10002079,"SESSAD BELLEVUE LES ESSENTIELS",18,"R","JEAN CLAUDE RACCURT","01120 DAGNEUX"
10002129,"CLINIQUE DE READAPTATION LES ARBELLES",554,"R","LEOPOLD LE HON","01000 BOURG EN BRESSE"
10002160,"LBM NOVELAB MONTREVEL EN BRESSE",,"RTE","DE MACON","01340 MONTREVEL EN BRESSE"
10002228,"EHPAD L'AMBARROISE AMBERIEU",58,"AV","PAUL PAINLEVE","01500 AMBERIEU EN BUGEY"
10002236,"CMP ENFANTS-ADO BOURG-EN-BRESSE",14,"R","DE L'ECOLE","01000 BOURG EN BRESSE"
10002244,"CATTP AGORA",,"BD","JULES FERRY","01000 BOURG EN BRESSE"
10002251,"HDJ ADULTES CHATILLON",,,,"01400 CHATILLON SUR CHALARONNE"
10002269,"SSIAD MIRIBEL",1820,,"GRANDE RUE","01700 MIRIBEL"
10002285,"NOUVELLE PHARMACIE DU CHAMP DE MARS",9,"R","ALEXANDRE BERARD","01500 AMBERIEU EN BUGEY"
10002301,"GRANDE PHARMACIE D'AMBERIEU CENTRE",41,"R","ALEXANDRE BERARD","01500 AMBERIEU EN BUGEY"
10002319,"INSTITUT EDUCATION MOTRICE HANDAS",151,"R","MARCEL PAGNOL","01440 VIRIAT"
10002335,"PHARMACIE ORSET",625,"AV","LEON BLUM","01500 AMBERIEU EN BUGEY"
10002350,"PHARMACIE GUSTIN",68,"AV","ROGER SALENGRO","01500 AMBERIEU EN BUGEY"
10002384,"SELARL PHARMACIE VINOIS",,"RTE","DE LA MAIRIE","01330 AMBERIEUX EN DOMBES"
10002400,"PHARMACIE BEDOY",112,,"GRAND RUE","01500 AMBRONAY"
10002434,"SARL GABRIELLE GROSS",,"RTE","DE DORTAN","01100 ARBENT"
10002459,"I.R.E.I.S DE L'AIN",48,"R","DU PELOUX","01000 BOURG EN BRESSE"
10002467,"PHARMACIE D'ARS ET DOMBES",310,"R","JEAN MARIE VIANNEY","01480 ARS SUR FORMANS"
10002483,"PHARMACIE COUZON ICARD",24,"R","DE SAVOIE","01510 ARTEMARE"
10002517,"PHARMACIE D'ATTIGNAT",568,,"GRANDE RUE","01340 ATTIGNAT"
10002533,"PHARMACIE DES BAGE",300,"RTE","DE MONTREVEL","01380 BAGE DOMMARTIN"
10002566,"PHARMACIE DE BELLIGNAT",3,"PL","DES ARCADES","01100 BELLIGNAT"
10002582,"PHARMACIE DE BELIGNEUX",87,"RTE","DE GENEVE","01360 BELIGNEUX"
10002616,"PHARMACIE DU CREDO",,"AV","DE LATTRE DE TASSIGNY","01200 VALSERHONE"
10002632,"PHARMACIE DEBOVE",3,"R","JOSEPH BERTOLA","01200 VALSERHONE"
10002657,"PHARMACIE MANNIER",20,"R","PARMENTIER","01200 VALSERHONE"
10002673,"GRANDE PHARMACIE DE BELLEGARDE",69,"R","DE LA REPUBLIQUE","01200 VALSERHONE"
10002707,"PHARMACIE DE LA VALSERINE",25,"R","DE LA REPUBLIQUE","01200 VALSERHONE"
10002723,"PHARMACIE  CAVAGNA",61,,"GRANDE RUE","01300 BELLEY"
10002756,"PHARMACIE GALENUS",1,"R","DE LA REPUBLIQUE","01300 BELLEY"
10002772,"GRANDE PHARMACIE DES TERREAUX",7,"PL","DES TERREAUX","01300 BELLEY"
10002798,"GRETA DE L'AIN",1,"R","DE CROUY","01000 BOURG EN BRESSE"
10002806,"D2L - PHARMACIE BELLEYSANNE",2,"BD","DE VERDUN","01300 BELLEY"
10002822,"PHARMACIE DE BEYNOST",5,"PL","DE LA DOMBE","01700 BEYNOST"
10002848,"SAMSAH CTRE RESSOURCES LESES CEREBRAUX",12,"R","DU PELOUX","01000 BOURG EN BRESSE"
10002855,"PHARMACIE DE LA BOISSE",55,"R","DE LA MEULE","01120 LA BOISSE"
10002905,"PHARMACIE DE LA PREFECTURE",21,"AV","ALSACE LORRAINE","01000 BOURG EN BRESSE"
10002921,"PHARMACIE DE LA CROIX BLANCHE",41,"AV","AMEDEE MERCIER","01000 BOURG EN BRESSE"
10002954,"PHARMACIE SIMONIN",68,"AV","DE PARME","01000 BOURG EN BRESSE"
10002970,"PHARMACIE CALMELS",146,"BD","DE BROU","01000 BOURG EN BRESSE"
10003002,"PHARMACIE DES ARCADES",18,"R","GAMBETTA","01000 BOURG EN BRESSE"
